2025-10-07 12:11:34,411 INFO    Thread-98 (_run_job):20804 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-10-07 12:11:34,417 INFO    Thread-98 (_run_job):20804 [wandb_setup.py:_flush():80] Configure stats pid to 20804
2025-10-07 12:11:34,417 INFO    Thread-98 (_run_job):20804 [wandb_setup.py:_flush():80] Loading settings from C:\Users\dell\.config\wandb\settings
2025-10-07 12:11:34,417 INFO    Thread-98 (_run_job):20804 [wandb_setup.py:_flush():80] Loading settings from C:\Users\dell\Desktop\experiemnts\X-IIoTID\src\engine\wandb\settings
2025-10-07 12:11:34,417 INFO    Thread-98 (_run_job):20804 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-10-07 12:11:34,417 INFO    Thread-98 (_run_job):20804 [wandb_init.py:setup_run_log_directory():703] Logging user logs to C:\Users\dell\Desktop\experiemnts\X-IIoTID\src\engine\wandb\run-20251007_121134-9wnid61t\logs\debug.log
2025-10-07 12:11:34,417 INFO    Thread-98 (_run_job):20804 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to C:\Users\dell\Desktop\experiemnts\X-IIoTID\src\engine\wandb\run-20251007_121134-9wnid61t\logs\debug-internal.log
2025-10-07 12:11:34,417 INFO    Thread-98 (_run_job):20804 [wandb_init.py:init():830] calling init triggers
2025-10-07 12:11:34,417 INFO    Thread-98 (_run_job):20804 [wandb_init.py:init():835] wandb.init called with sweep_config: {'batch_size': 32, 'dropout_rate': 0.23697986481180253, 'epochs': 2, 'learning_rate': 0.0005937278461407238}
config: {'_wandb': {}}
2025-10-07 12:11:34,417 INFO    Thread-98 (_run_job):20804 [wandb_init.py:init():871] starting backend
2025-10-07 12:11:34,632 INFO    Thread-98 (_run_job):20804 [wandb_init.py:init():874] sending inform_init request
2025-10-07 12:11:34,634 INFO    Thread-98 (_run_job):20804 [wandb_init.py:init():882] backend started and connected
2025-10-07 12:11:34,636 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_config_callback():1363] config_cb None None {'batch_size': 32, 'dropout_rate': 0.23697986481180253, 'epochs': 2, 'learning_rate': 0.0005937278461407238}
2025-10-07 12:11:34,637 INFO    Thread-98 (_run_job):20804 [wandb_init.py:init():953] updated telemetry
2025-10-07 12:11:34,702 INFO    Thread-98 (_run_job):20804 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-10-07 12:11:35,347 INFO    Thread-98 (_run_job):20804 [wandb_init.py:init():1029] starting run threads in backend
2025-10-07 12:11:36,025 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_console_start():2458] atexit reg
2025-10-07 12:11:36,025 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-10-07 12:11:36,025 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-10-07 12:11:36,025 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_redirect():2398] Redirects installed.
2025-10-07 12:11:36,026 INFO    Thread-98 (_run_job):20804 [wandb_init.py:init():1075] run started, returning control to user process
2025-10-07 12:11:36,169 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_finish():2224] finishing run khelifiseif1-null/X-IIoTID-transformer-binary-classification-random-search/9wnid61t
2025-10-07 12:11:36,170 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_atexit_cleanup():2423] got exitcode: 0
2025-10-07 12:11:36,171 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_restore():2405] restore
2025-10-07 12:11:36,171 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_restore():2411] restore done
2025-10-07 12:11:37,449 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_footer_history_summary_info():3903] rendering history
2025-10-07 12:11:37,449 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_footer_history_summary_info():3935] rendering summary
2025-10-07 12:11:37,449 INFO    Thread-98 (_run_job):20804 [wandb_run.py:_footer_sync_info():3864] logging synced files
